,Credit Suisse Hedge Fund Index ,Credit Suisse Convertible Arbitrage Hedge Fund Index,Credit Suisse Emerging Markets Hedge Fund Index,Credit Suisse Equity Market Neutral Hedge Fund Index,Credit Suisse Event Driven Hedge Fund Index,Credit Suisse Event Driven Distressed Hedge Fund Index,Credit Suisse Event Driven Multi-Strategy Hedge Fund Index,Credit Suisse Event Driven Risk Arbitrage Hedge Fund Index,Credit Suisse Fixed Income Arbitrage Hedge Fund Index,Credit Suisse Global Macro Hedge Fund Index,Credit Suisse Long/Short Equity Hedge Fund Index,Credit Suisse Managed Futures Hedge Fund Index,Credit Suisse Multi-Strategy Hedge Fund Index
Date,HEDG,HEDG_CVARB,HEDG_EMMKT,HEDG_EQNTR,HEDG_EVDRV,HEDG_DISTR,HEDG_MSEVD,HEDG_MRARB,HEDG_FIARB,HEDG_GLMAC,HEDG_LOSHO,HEDG_MGFUT,HEDG_MULTI
2011-1-31,0.69%,2.16%,-0.39%,1.79%,1.80%,1.90%,1.74%,0.89%,1.68%,-0.77%,0.27%,-0.82%,1.98%
2010-12-31,2.90%,1.16%,1.50%,1.74%,3.93%,2.73%,4.78%,1.14%,0.61%,2.67%,3.42%,5.42%,1.70%
2010-11-30,-0.18%,0.04%,-0.38%,-2.51%,0.15%,0.33%,0.04%,-1.44%,0.74%,-0.52%,0.46%,-4.11%,0.30%
2010-10-31,1.92%,1.98%,2.21%,0.93%,1.80%,1.32%,2.17%,-0.62%,1.10%,1.62%,2.00%,4.29%,2.03%
2010-9-30,3.43%,1.11%,4.77%,3.66%,3.20%,2.07%,4.03%,2.31%,1.55%,2.72%,5.09%,2.77%,2.79%
2010-8-31,0.23%,1.35%,0.12%,-1.55%,-0.40%,-0.64%,-0.24%,0.31%,1.24%,1.48%,-1.12%,4.87%,0.01%
2010-7-31,1.59%,2.22%,3.52%,1.67%,1.56%,1.10%,1.90%,1.61%,1.20%,0.65%,2.53%,-1.50%,1.66%
2010-6-30,-0.84%,0.01%,-0.03%,-0.99%,-1.58%,-1.10%,-1.97%,0.10%,0.92%,0.56%,-2.07%,0.42%,-0.81%
2010-5-31,-2.76%,-2.51%,-4.28%,-3.30%,-3.07%,-2.50%,-3.53%,-1.52%,-0.79%,-0.63%,-4.13%,-4.03%,-2.19%
2010-4-30,1.24%,1.69%,1.01%,0.43%,1.89%,1.69%,2.09%,-0.10%,1.75%,1.65%,0.29%,1.89%,0.96%
2010-3-31,2.22%,2.06%,3.89%,0.54%,2.85%,2.64%,3.07%,0.69%,1.44%,0.38%,2.99%,4.25%,1.44%
2010-2-28,0.68%,0.47%,-0.45%,-1.35%,0.44%,0.29%,0.57%,0.30%,0.07%,1.10%,1.32%,1.81%,0.56%
2010-1-31,0.17%,0.97%,-0.76%,0.10%,1.42%,2.02%,0.90%,0.40%,2.02%,1.07%,-1.50%,-3.81%,0.56%
2009-12-31,0.88%,2.22%,1.97%,-0.87%,2.28%,2.51%,2.13%,0.38%,0.76%,-1.43%,1.69%,-5.00%,1.18%
2009-11-30,2.11%,0.80%,1.37%,0.08%,2.16%,2.08%,2.26%,1.03%,1.71%,3.52%,1.92%,4.94%,0.96%
2009-10-31,0.13%,2.16%,0.90%,-0.35%,0.43%,0.71%,0.21%,0.16%,1.94%,0.21%,-1.21%,-2.17%,1.12%
2009-9-30,3.04%,3.23%,4.94%,0.96%,2.89%,3.38%,2.52%,1.60%,2.77%,2.77%,3.23%,2.97%,2.86%
2009-8-31,1.53%,3.39%,1.06%,1.31%,2.17%,2.12%,2.23%,0.95%,2.38%,0.86%,1.42%,0.92%,1.43%
2009-7-31,2.54%,5.80%,3.83%,1.79%,2.33%,2.25%,2.41%,1.12%,3.65%,1.78%,2.99%,-0.43%,2.99%
2009-6-30,0.43%,4.05%,0.69%,-0.21%,1.02%,1.44%,0.71%,0.89%,1.83%,-0.85%,-0.04%,-2.32%,1.62%
2009-5-31,4.06%,5.81%,6.96%,3.63%,4.22%,4.15%,4.31%,1.85%,4.33%,1.47%,5.23%,0.85%,4.28%
2009-4-30,1.68%,4.52%,5.17%,1.29%,1.48%,1.80%,1.27%,0.72%,1.93%,0.19%,2.54%,-3.24%,2.24%
2009-3-31,0.65%,1.14%,2.24%,1.10%,0.16%,0.12%,0.16%,1.65%,1.74%,0.03%,1.86%,-2.18%,0.38%
2009-2-28,-0.88%,0.75%,-2.10%,-5.61%,-1.13%,-1.20%,-1.12%,0.69%,1.01%,0.21%,-1.34%,-0.16%,-0.09%
2009-1-31,1.09%,5.72%,-0.14%,1.14%,0.79%,-0.06%,1.33%,0.38%,0.48%,2.33%,-0.17%,-0.56%,3.35%
2008-12-31,-0.03%,-0.98%,0.22%,0.41%,-1.26%,-2.54%,-0.49%,1.60%,-0.80%,1.11%,1.06%,2.37%,-1.52%
2008-11-30,-4.15%,-1.88%,-1.87%,-40.45%,-3.21%,-5.00%,-2.17%,-0.02%,-5.60%,1.54%,-1.41%,3.22%,-4.63%
2008-10-31,-6.30%,-12.59%,-13.63%,-1.83%,-5.09%,-5.66%,-4.77%,-3.06%,-14.04%,-5.13%,-7.13%,4.96%,-6.94%
2008-9-30,-6.55%,-12.26%,-8.93%,-1.41%,-5.75%,-5.18%,-6.17%,-3.49%,-6.80%,-6.63%,-7.81%,-0.57%,-7.35%
2008-8-31,-1.47%,-0.66%,-4.00%,-0.59%,-0.16%,-0.07%,-0.20%,-1.16%,-0.70%,-1.37%,-2.11%,-2.48%,-1.26%
2008-7-31,-2.61%,-2.14%,-2.84%,-0.06%,-2.53%,-2.59%,-2.53%,-0.39%,-0.37%,-2.64%,-3.43%,-4.20%,-2.47%
2008-6-30,0.00%,-0.36%,-1.59%,0.55%,-0.15%,-0.51%,0.09%,-0.12%,-0.47%,2.00%,-1.33%,4.79%,0.05%
2008-5-31,2.00%,1.50%,2.14%,1.10%,1.89%,1.50%,2.20%,-0.18%,1.26%,1.80%,2.91%,1.44%,1.20%
2008-4-30,0.57%,1.11%,0.17%,0.31%,0.51%,0.24%,0.68%,0.88%,2.07%,-1.59%,2.20%,-2.15%,0.66%
2008-3-31,-2.11%,-5.93%,-3.30%,0.01%,-1.72%,-1.04%,-2.21%,1.62%,-6.43%,-1.70%,-2.06%,-0.53%,-1.89%
2008-2-29,1.61%,-1.29%,1.78%,1.07%,0.85%,0.17%,1.26%,1.26%,-0.66%,4.11%,2.06%,6.61%,-0.27%
2008-1-31,-1.48%,-0.53%,-2.67%,0.69%,-2.44%,-1.70%,-2.94%,-0.10%,0.28%,4.44%,-4.05%,4.13%,-1.81%
2007-12-31,0.47%,-0.40%,1.32%,0.48%,0.32%,0.06%,0.50%,-0.63%,0.21%,1.50%,0.42%,0.32%,-0.31%
2007-11-30,-1.21%,-1.48%,-1.85%,0.56%,-1.68%,-1.30%,-1.94%,-0.80%,-0.25%,-0.17%,-1.71%,-0.95%,-1.14%
2007-10-31,3.16%,2.18%,5.48%,1.50%,2.91%,1.41%,3.84%,2.13%,1.15%,2.72%,3.73%,4.06%,3.02%
2007-9-30,2.71%,1.97%,4.77%,1.30%,1.60%,1.14%,1.82%,3.22%,1.85%,4.10%,3.31%,5.13%,1.77%
2007-8-31,-1.53%,-1.08%,-2.37%,-0.39%,-1.88%,-1.73%,-2.03%,-0.65%,-0.87%,-0.62%,-1.38%,-4.61%,-1.40%
2007-7-31,0.00%,-1.11%,2.55%,0.40%,0.97%,-0.24%,1.80%,0.43%,-1.96%,0.96%,-0.69%,-4.79%,-0.26%
2007-6-30,0.78%,0.28%,1.83%,0.56%,0.73%,0.95%,0.61%,0.00%,0.21%,1.22%,0.42%,3.03%,0.37%
2007-5-31,2.31%,1.19%,1.72%,0.75%,3.24%,2.08%,4.31%,0.04%,0.24%,1.79%,2.31%,5.13%,2.29%
2007-4-30,2.02%,0.56%,2.24%,1.01%,1.52%,1.57%,1.44%,2.15%,1.00%,1.71%,2.90%,4.02%,1.69%
2007-3-31,1.24%,0.68%,1.96%,1.65%,1.27%,1.27%,1.26%,1.29%,0.90%,1.21%,1.87%,-2.54%,0.82%
2007-2-28,0.74%,1.16%,1.13%,0.47%,1.55%,1.21%,1.81%,1.15%,1.21%,0.50%,0.71%,-4.38%,1.20%
2007-1-31,1.33%,1.20%,0.08%,0.61%,2.06%,1.71%,2.43%,0.20%,0.12%,1.29%,1.15%,2.26%,1.70%
2006-12-31,1.83%,1.49%,2.84%,0.88%,1.58%,1.68%,1.59%,0.49%,0.72%,1.36%,2.08%,4.05%,1.77%
2006-11-30,2.07%,1.06%,3.15%,0.97%,2.09%,1.59%,2.39%,3.01%,1.16%,1.44%,2.60%,2.22%,2.26%
2006-10-31,1.77%,0.68%,2.86%,0.39%,2.23%,2.65%,2.08%,-0.16%,0.74%,1.08%,2.19%,1.73%,1.61%
2006-9-30,0.13%,1.15%,-0.45%,0.20%,0.60%,0.50%,0.69%,0.22%,-0.02%,0.02%,0.09%,-1.15%,0.32%
2006-8-31,0.85%,1.01%,1.42%,0.31%,1.05%,1.15%,1.03%,0.35%,-0.02%,-0.77%,1.54%,1.39%,0.58%
2006-7-31,0.29%,0.79%,1.99%,1.26%,0.04%,-0.09%,0.11%,0.46%,0.24%,1.36%,-0.05%,-2.43%,0.19%
2006-6-30,-0.11%,0.35%,-0.14%,0.27%,0.75%,0.76%,0.78%,0.20%,0.62%,0.44%,-1.01%,-2.04%,0.00%
2006-5-31,-1.30%,0.76%,-5.02%,0.82%,-0.09%,0.39%,-0.43%,-0.15%,0.81%,-0.60%,-2.84%,-2.70%,-0.11%
2006-4-30,2.22%,0.75%,3.82%,2.02%,1.75%,1.52%,2.01%,0.30%,2.05%,2.86%,2.34%,2.92%,1.58%
2006-3-31,1.82%,1.48%,1.37%,1.62%,1.50%,1.73%,1.35%,0.97%,0.57%,1.06%,2.45%,4.08%,2.05%
2006-2-28,0.34%,1.18%,1.56%,0.50%,0.34%,0.21%,0.43%,0.58%,0.06%,1.23%,0.14%,-2.62%,0.69%
2006-1-31,3.23%,2.75%,5.76%,1.40%,2.92%,2.52%,3.32%,1.63%,1.42%,3.37%,4.18%,2.71%,2.76%
2005-12-31,1.61%,0.96%,2.44%,1.44%,1.45%,1.73%,1.27%,0.85%,0.45%,1.58%,2.78%,-2.53%,1.89%
2005-11-30,1.48%,-0.43%,2.43%,0.18%,1.28%,1.63%,1.03%,1.01%,-0.58%,1.08%,2.22%,4.17%,1.30%
